,delta_abs,theta_abs,alpha_abs,beta_abs,gamma_abs,delta_rel,theta_rel,alpha_rel,beta_rel,gamma_rel,theta_alpha_ratio,theta_beta_ratio,alpha_beta_ratio,delta_theta_ratio,theta_alpha_beta_ratio,delta_frontal,theta_frontal,alpha_frontal,beta_frontal,gamma_frontal,delta_central,theta_central,alpha_central,beta_central,gamma_central,delta_parietal,theta_parietal,alpha_parietal,beta_parietal,gamma_parietal,delta_occipital,theta_occipital,alpha_occipital,beta_occipital,gamma_occipital,delta_temporal,theta_temporal,alpha_temporal,beta_temporal,gamma_temporal,theta_alpha_frontal_ratio,alpha_beta_frontal_ratio,theta_alpha_central_ratio,alpha_beta_central_ratio,theta_alpha_parietal_ratio,alpha_beta_parietal_ratio,theta_alpha_occipital_ratio,alpha_beta_occipital_ratio,theta_alpha_temporal_ratio,alpha_beta_temporal_ratio,delta_frontoparietal_diff,delta_frontoparietal_ratio,theta_frontoparietal_diff,theta_frontoparietal_ratio,alpha_frontoparietal_diff,alpha_frontoparietal_ratio,beta_frontoparietal_diff,beta_frontoparietal_ratio,gamma_frontoparietal_diff,gamma_frontoparietal_ratio
theta_alpha_ratio,0.273667228483028,0.3176318880695784,-0.2036074767591869,-0.12105543581948022,-0.07352754661083351,0.18257630434196295,0.4289959219111918,-0.5694180942730964,-0.20369502460027963,-0.091460928886789,1.0,0.5282411897271105,-0.22792151602876262,0.003775594924571081,0.953895830133355,0.2530458048237961,0.36122741892144067,-0.15586256959613018,-0.10568198323929838,-0.06052622845394843,0.24955388766207304,0.20612344847053934,-0.17856165821129005,-0.11240646075799698,-0.04296958964296687,0.24182167258698134,0.23697814026520633,-0.21125834239042707,-0.11840147819947071,-0.08692918158482987,0.2464587445387017,0.25220410126180937,-0.1817228803969016,-0.11515341429624772,-0.08894721864959161,0.15451004805543972,0.18547266485483474,-0.18258417271841554,-0.10765614260679088,-0.09370991047530383,0.9043757210285417,-0.1480449534031285,0.7056823808069932,-0.17000048121461284,0.8630404688008094,-0.2665893229246509,0.6138624004536457,-0.21599039858227898,0.6458717459239612,-0.152074594660545,0.22981010396963644,0.08072810769256626,0.0024230955898323697,0.23076342399583172,0.2185071554199616,0.2667576782983828,-0.01205291355659116,0.03277422799345213,-0.03700647198510285,0.03493842274455708
theta_beta_ratio,0.26724388909626945,0.7848678198213522,0.2847034577930571,-0.043174000321042426,-0.06555110731641745,-0.12727694780389304,0.5684260119231218,-0.11089975733130122,-0.48598121081482015,-0.3472895993365049,0.5282411897271105,1.0,0.44182115588280574,-0.042905158797542725,0.6982987791532472,0.2408695426044567,0.7665009502166534,0.3484421082542994,-0.08312890605690877,-0.06493729974427538,0.29870601737639324,0.6343100294078454,0.28567497402524855,-0.013856559003288941,-0.04896656752662817,0.32780347899416634,0.7369157720992774,0.23953015774781602,0.02244474115626976,-0.04023895448665349,0.20745383529642242,0.6559743041392467,0.11989279135692381,0.00039512329144865594,-0.031519281786184454,0.1787143532043257,0.5685737705421686,0.24658620141077256,-0.0432829783691546,-0.07788756144229203,0.475659996859152,0.46747818839650557,0.364814858359607,0.35402700972209905,0.45294440169296574,0.3159829849961885,0.301490643653658,0.2182794120731326,0.31993815497692074,0.30121520754179815,0.16593842119586982,0.0033525777277116538,-0.3948751846099499,0.08087246161842113,-0.16819903731851812,0.08156440894501152,-0.11078610026138246,-0.15785176428333883,-0.057207672967527726,-0.12267983795526399
alpha_beta_ratio,0.0756658809666179,0.4069418173282094,0.745901730789394,0.046802235736689714,-0.02761410996756787,-0.3368888098148249,0.11406156884885577,0.6058136924390276,-0.4597471045807845,-0.3647232835433249,-0.22792151602876262,0.44182115588280574,1.0,-0.04997850489845902,-0.10599371526171285,0.06343700096916763,0.3319921584116689,0.707721929866185,-0.031955285708500536,-0.04531619662151959,0.11638859265029078,0.37075513534547516,0.6057700529578982,0.08087766710752375,-0.02531571480168715,0.15025230354614108,0.4401026036165422,0.7316140647038745,0.15812754148230698,0.04721325480294128,0.040499724481068256,0.4130839534428315,0.5868213233931913,0.1647504244938968,0.06272084048516202,0.06599927455793311,0.3466925419926277,0.5658630083158872,0.04866436399390794,-0.0017605127990436681,-0.20174392850774311,0.894362657904442,-0.19734396359287829,0.6802765466185487,-0.20177379954727578,0.8506402439557245,-0.15114607208099673,0.6982646865064673,-0.1647207422296766,0.6045513080372242,0.009120609081151393,-0.059694431535401445,-0.377692213736742,-0.14476331742458576,-0.6789144043548367,-0.19600175432963338,-0.17362406928546265,-0.22173277915091136,-0.06477730968404224,-0.18567143299348313
delta_theta_ratio,0.17386687281235652,-0.052661751285952435,-0.04550745125030056,-0.0300694589210274,-0.0016740175620577663,0.28741172671838067,-0.21626724879109674,-0.15073619192537022,-0.10006200742482566,-0.06036673750359646,0.003775594924571081,-0.042905158797542725,-0.04997850489845902,1.0,-0.008306786847412088,0.16695710150485923,-0.03579341428850022,-0.047721351343578834,-0.027227948703637487,-0.0031948143489486346,0.1327043225067146,-0.06526195409084055,-0.05515017390798794,-0.03408787967448508,0.0074484548349547505,0.13949971663820715,-0.06696068812934383,-0.043000688186767076,-0.030962338800874806,-0.008608992343154116,0.12196060557505534,-0.04058686646742444,-0.01489446757147759,-0.005513955804998666,-0.007217965208134011,0.08906386536884085,-0.04462468611694146,-0.04173907466210724,-0.005141145765669667,0.011798152707202778,0.013687368758784072,-0.040881498895278916,-0.002002253173538566,-0.0499271149351796,-0.02382480089700194,-0.051718650760872995,-0.00782412524623097,-0.028202637045111785,-0.0029747984427183137,-0.0479206006610748,0.16247489461981612,0.13038354980686326,0.07406576025836702,0.12721371033005083,0.03706588120360545,0.07296164161184547,-0.0027044617053128286,0.0057409364335537965,-0.0006261351854813871,0.005273432155740573
theta_alpha_beta_ratio,0.30864228784675624,0.45480211767282436,-0.1233803529052634,-0.11962955091633355,-0.08363924579534193,0.132646492317818,0.5123699201756797,-0.49863444601604967,-0.3482597289708746,-0.22034553051606798,0.953895830133355,0.6982987791532472,-0.10599371526171285,-0.008306786847412088,1.0,0.28414274889513075,0.49019840408538845,-0.066588569942335,-0.11596331712128949,-0.07136062597895411,0.29351242220462986,0.3262239613559268,-0.09415202599150053,-0.10304071192594468,-0.05493116613882954,0.2935699121246641,0.36981946204882515,-0.14223937316449203,-0.10049532153787293,-0.08863571889797661,0.27093498257147836,0.3661010905403312,-0.1426460342504576,-0.10291640233023576,-0.0893137371353301,0.17990825843324415,0.28870155598925434,-0.10616846241734748,-0.10650942676738671,-0.1031397977218798,0.8663420332088879,-0.03360961171820194,0.6731745439512945,-0.06576556176669301,0.8163928764774083,-0.16436214993137419,0.5705573305352285,-0.14574141391094622,0.6071721624774231,-0.062371692288554624,0.2461325360476444,0.07132023045006793,-0.07914022069517146,0.21847701534512948,0.1648870695975153,0.23539421791151421,-0.039016572571632734,-0.06879144304788726,-0.04820411518402026,-0.040330110530563394
delta_frontal,0.982162349344848,0.29355792875798964,0.14628273460759553,0.17282638211535012,0.12150789653826186,0.38490938428131444,-0.21091342301414165,-0.21789754941669115,-0.2408648917529499,-0.17366723120847546,0.2530458048237961,0.2408695426044567,0.06343700096916763,0.16695710150485923,0.28414274889513075,1.0,0.39991744574632987,0.17585958977733035,0.12807374965788448,0.09833959026926083,0.8518344080742397,0.12966469560101943,0.08654711341353935,0.10728440609119497,0.060155360404334786,0.858488733052869,0.12307876016757414,0.11291436819425582,0.16002936072389176,0.09101990598948634,0.46070652961244213,0.18414376373248773,0.11528004270023483,0.2061856071914648,0.10873101706783167,0.6750054331220047,0.2689660108882882,0.14954595457806966,0.1731470756752842,0.11506402738051269,0.28418475566155704,0.07517490724219475,0.152204964395184,0.04116860517193812,0.1405634849926545,0.027812127728745032,0.09661128817266652,0.03197154084902399,0.1665810492421384,0.007523681137462448,0.9607389985459037,0.2842104531839558,0.24071579335804713,0.3118968547943168,-0.07391326446605415,0.13325926331885787,0.0001082907171804807,-0.047587801821446674,0.07670335758951723,-0.02498899492592013
theta_frontal,0.414758035350238,0.9571545023026516,0.4402070638297259,0.31608793877685015,0.145187810125845,-0.1449357383770142,0.4460820143609604,-0.047404507873557135,-0.31477831100637255,-0.267603765735858,0.36122741892144067,0.7665009502166534,0.3319921584116689,-0.03579341428850022,0.49019840408538845,0.39991744574632987,1.0,0.5380953095125093,0.23504613332024404,0.12623658241454908,0.47847330104326197,0.7669030231574644,0.4183471656201676,0.26535924244788134,0.05555507483632232,0.4870238443533676,0.8282051011757435,0.35905707185678165,0.3222551501978405,0.11532903222180999,0.17173771453647116,0.6992395087142763,0.21752202552254396,0.27986788682263103,0.12893814227049472,0.39915459093178085,0.7629007383520192,0.4117865639394332,0.23408963704920266,0.09631371024710213,0.35720325040042805,0.34876491920118097,0.2272782744585702,0.29232268359217056,0.29754428032485253,0.25100743091472916,0.19663281612215625,0.1589480095409406,0.2091826981172432,0.2152141048488338,0.3064718133033704,0.037024925127475426,-0.28753078114556324,0.11741870167706622,-0.2448218586735778,0.05748956242393836,-0.024836684272566426,-0.09658204961581122,0.09896151226296093,-0.039897119705314475
alpha_frontal,0.1986257446760398,0.5986514439339935,0.9398186360312232,0.497281214871081,0.25726832921878595,-0.3201954906207397,0.1369231374592588,0.4743179632399393,-0.2706148417479385,-0.26768957103617735,-0.15586256959613018,0.3484421082542994,0.707721929866185,-0.047721351343578834,-0.066588569942335,0.17585958977733035,0.5380953095125093,1.0,0.3828847857285732,0.21926800153565443,0.27821101030998757,0.5502743872036183,0.7375163646965248,0.4416003493271266,0.132480364131217,0.2857496114985659,0.5827152784815498,0.869231321317478,0.5050021409414458,0.2304120529681905,0.0832006029852824,0.5260502626329985,0.7076695518401886,0.47378844342595255,0.23414400569757166,0.23271322143692222,0.5344000657604692,0.7009187720413864,0.4026577413484041,0.2318133134505862,-0.16976998868134752,0.6654109937288298,-0.13975761750423518,0.5043366974314387,-0.13141114145685454,0.6285223486774533,-0.10121851180025988,0.49494105982740405,-0.11050240144285911,0.358729410397548,0.09603828202008349,-0.01904800004802409,-0.3889591118262968,-0.08375715307563493,-0.7328900858245135,-0.06761844635635852,-0.022977251131864402,-0.11078095815451611,0.16195926838228591,-0.049780509130145936
beta_frontal,0.14209136651048995,0.24639549477530354,0.36285697640477493,0.8855357915088944,0.7525576844538377,-0.1763138409632831,-0.006938482683806477,0.1587535441563804,0.234064752428253,0.06800240519362614,-0.10568198323929838,-0.08312890605690877,-0.031955285708500536,-0.027227948703637487,-0.11596331712128949,0.12807374965788448,0.23504613332024404,0.3828847857285732,1.0,0.7963186788470505,0.2294686029940325,0.2431330664910839,0.32284448782442626,0.6432498217849123,0.4175318857806763,0.17765680518881088,0.21445132526745742,0.3193611076242185,0.5046264204184376,0.35644145428782553,0.04969060306772329,0.18702322471234475,0.26754500079907323,0.46379244470681497,0.3038267226763983,0.20896820754484194,0.26693787536435865,0.3421913108311386,0.5780104736961593,0.45221579251931726,-0.09489254599403296,-0.12394021888428738,-0.10280317393104937,0.062094231151027544,-0.10413624904942569,0.1308203133601233,-0.06340756659338849,0.0854653362333781,-0.08001484512497568,-0.01928485480200679,0.08641449001230697,0.042823809074417726,-0.10139559636673467,0.0033101975379442854,-0.2620980679554641,-0.03744562071844546,0.6537392331396219,0.2260408547215311,0.7467575349894592,0.2899611425775397
gamma_frontal,0.10524609357386842,0.12879536808438943,0.20100897436470838,0.6465255944507697,0.9337149044412283,-0.09001317093962444,-0.02882437686829727,0.06386175255585737,0.13460533536635572,0.18376154553584007,-0.06052622845394843,-0.06493729974427538,-0.04531619662151959,-0.0031948143489486346,-0.07136062597895411,0.09833959026926083,0.12623658241454908,0.21926800153565443,0.7963186788470505,1.0,0.19035327234374255,0.12470942299626848,0.17777369003443313,0.49600395762999544,0.6078107749291258,0.10852476790358595,0.11459511446020772,0.17543125469870216,0.2537149783078689,0.40091983962728517,0.03844582247384606,0.0938456836836182,0.1524934105737324,0.22812001515343563,0.2923836486684005,0.12520602346596676,0.1293476947824639,0.18274776883436278,0.4214144765599442,0.5036678753070295,-0.05661546597169829,-0.11393823324172041,-0.06183159221818783,0.03858197271227933,-0.060558867130831,0.10196504808292442,-0.028692297065188017,0.058044913569350376,-0.040189839890351874,-0.02107691096547182,0.08143932021353492,0.05703407624435353,-0.053464464537272965,0.017399397942813585,-0.13983318290190494,-0.0019127056143161889,0.6504201031693103,0.2120129737264887,0.953175551592681,0.33388572736943195
delta_central,0.8741320138924231,0.40586085414548795,0.2426408490699184,0.29579571306006847,0.2268087483037324,0.3349231744793936,-0.14240272415963776,-0.1829561249702939,-0.2845605820272237,-0.23533129789209042,0.24955388766207304,0.29870601737639324,0.11638859265029078,0.1327043225067146,0.29351242220462986,0.8518344080742397,0.47847330104326197,0.27821101030998757,0.2294686029940325,0.19035327234374255,1.0,0.28269751025988776,0.1885840132304582,0.2644744979564514,0.16881344582546537,0.8145567983063715,0.24608194381546128,0.198454365464206,0.2664793856088909,0.16633573513661656,0.5257326631452195,0.30403099590688387,0.16705202499321362,0.2844079284838619,0.18026147845078086,0.6446382326069233,0.3934083598620846,0.24610124073898404,0.243579370866548,0.16273601079252412,0.26778173814451733,0.11818035875101342,0.17478160749330376,0.07887292013428449,0.1565662136531754,0.06364826174898451,0.11192225563340298,0.05175852837053039,0.16877391128846855,0.052451091074859166,0.7733414786512911,0.2138114163168888,0.11910377745523257,0.2363366293209335,-0.14420965534135358,0.09709398498786675,0.017937817759979647,-0.09245784410791945,0.15172385969884858,-0.05585492082772047
theta_central,0.1601670709642379,0.8529401905113106,0.4875961747432423,0.3480650278918821,0.15047787058093606,-0.28845399687849205,0.5235153589127477,0.06836598107741404,-0.28048155840051747,-0.26437462087578456,0.20612344847053934,0.6343100294078454,0.37075513534547516,-0.06526195409084055,0.3262239613559268,0.12966469560101943,0.7669030231574644,0.5502743872036183,0.2431330664910839,0.12470942299626848,0.28269751025988776,1.0,0.592791874529355,0.3316431886639786,0.05885436522328411,0.2644828196634497,0.796445766852497,0.40176288112357716,0.373885182216247,0.1321092061973779,0.07008773603470869,0.5608987614922905,0.20910252495644172,0.2859828095995722,0.12757252049069676,0.17307292344584457,0.7455102834806256,0.4705253259945707,0.2589318748664991,0.1288338532374321,0.16239301967672387,0.3589273374715596,0.205099542526978,0.41232703445026203,0.1910995534532463,0.2860129322884324,0.10299400732812261,0.15257603904515013,0.12457822470159448,0.2649351742234998,0.04170710360806603,-0.06500599160278582,-0.4961589738414168,-0.06349049258366518,-0.29794696120924236,-0.024399730342277465,-0.06122700800299036,-0.11683805826886759,0.09176445285918237,-0.04376643194817692
