target,feature,mean_difference,cohen_d,abs_cohen_d,p_fdr,fdr_significant,effect_magnitude_final,final_evidence_class,final_priority_score_v1,direction,ml_mean_abs_permutation_importance,ml_mean_sign_consistency_x,ml_mean_stability_score_x,ml_best_rank_x,remember_abs_effect_x,correct_abs_effect_x,cross_target_pattern_x,direction_relationship_x,significance_pattern_x,evidence_statistical_effect,evidence_fdr_significance,evidence_direction_consistency,evidence_ml_stability,evidence_ml_importance,evidence_cross_target,final_scientific_evidence_score,final_evidence_class_v2,final_scientific_rank_v2,global_feature_rank_v2,ml_mean_permutation_importance,ml_max_permutation_importance,ml_mean_sign_consistency_y,ml_mean_stability_score_y,ml_best_rank_y,remember_abs_effect_y,correct_abs_effect_y,cross_target_pattern_y,significance_pattern_y,direction_relationship_y,publication_priority,effect_direction,publication_effect_magnitude
remember,delta_temporal,-0.3563561735405196,-0.0468236166143879,0.0468236166143879,0.0055163795352057,True,negligible,significant_but_weak,3.0,negative,0.0016653490074815,0.9,0.001449890500627,36,0.3563561735405196,0.2506245280249448,target_shared,same_direction,significant_remember_only,0.20540703288389,1.0,0.0,0.9,0.0982461601784112,1.0,0.5411763742388136,moderate_multilayer_evidence,4,26,0.0016653490074815,0.0021545850685452,0.9,0.001449890500627,36,0.3563561735405196,0.2506245280249448,target_shared,significant_remember_only,same_direction,exploratory,negative,very_small
remember,gamma_frontoparietal_ratio,-0.2465378010723733,-0.0472393923056144,0.0472393923056144,0.0043090467750375,True,negligible,significant_but_weak,3.0,negative,0.0009299386728895,0.9,0.0008261788928065,42,0.2465378010723733,0.5796949672324905,target_shared,same_direction,significant_both_targets,0.2072615755198085,1.0,0.0,0.9,0.0438823939924215,1.0,0.5362036332791943,moderate_multilayer_evidence,5,5,0.0009299386728895,0.0010375978008295,0.9,0.0008261788928065499,42,0.2465378010723733,0.5796949672324905,target_shared,significant_both_targets,same_direction,exploratory,negative,very_small
remember,gamma_central,0.0055102751278641,0.0350651750312705,0.0350651750312705,0.0298705373269322,True,negligible,significant_but_weak,3.0,positive,0.0067983480610636,1.0,0.0067983480610636,8,0.0055102751278641,0.0032240221168111,weak_cross_target_pattern,same_direction,significant_remember_only,0.1529592065486821,1.0,0.0,1.0,0.4776930448032486,0.5,0.5360091061174954,moderate_multilayer_evidence,6,27,0.0067983480610636,0.0117197976368876,1.0,0.0067983480610636,8,0.0055102751278641,0.0032240221168111,weak_cross_target_pattern,significant_remember_only,same_direction,exploratory,positive,very_small
correct,alpha_rel,0.0175304277247444,0.1294403336185308,0.1294403336185308,0.0001465080516652,True,negligible,significant_but_weak,4.0,positive,0.0004776984197269,0.7,0.0003762971489655,43,0.0034309465301826,0.0175304277247444,weak_cross_target_pattern,same_direction,significant_correct_only,0.573913964281981,1.0,0.0,0.7,0.0104514205258028,0.5,0.5345236331230755,moderate_multilayer_evidence,29,37,0.00047769841972693857,0.0008967809712943,0.7,0.00037629714896557316,43,0.0034309465301826,0.0175304277247444,weak_cross_target_pattern,significant_correct_only,same_direction,exploratory,positive,small
correct,theta_frontoparietal_diff,-0.3007786594133896,-0.0980979543414767,0.0980979543414767,0.000323467232544,True,negligible,significant_but_weak,3.0,negative,0.0024888726169346,0.9,0.0023229997505376,31,0.1770006101954757,0.3007786594133896,target_dissociated,opposite_direction,significant_both_targets,0.4341131536358361,1.0,0.0,0.9,0.1591235273394143,0.25,0.5294406411429005,moderate_multilayer_evidence,30,13,0.00248887261693465,0.0033190165699001,0.9,0.0023229997505376998,31,0.1770006101954757,0.3007786594133896,target_dissociated,significant_both_targets,opposite_direction,exploratory,negative,very_small
correct,alpha_frontal,0.1761544002949546,0.099496406033894,0.099496406033894,0.0029946881408546,True,negligible,significant_but_weak,3.0,positive,0.0021939683097671,0.9,0.0020589928651441,34,0.0242559269682092,0.1761544002949546,target_dissociated,opposite_direction,significant_correct_only,0.4403508638786108,1.0,0.0,0.9,0.137323305003686,0.25,0.5288200464700213,moderate_multilayer_evidence,31,36,0.0021939683097671,0.0030381821733048,0.9,0.00205899286514415,34,0.0242559269682092,0.1761544002949546,target_dissociated,significant_correct_only,opposite_direction,exploratory,positive,very_small
correct,beta_central,0.0159778114775971,0.0771164318879058,0.0771164318879058,0.0055011199100795,True,negligible,significant_but_weak,3.0,positive,0.0021501764855749,0.9,0.00186987814748,30,0.0062002185686043,0.0159778114775971,weak_cross_target_pattern,same_direction,significant_correct_only,0.3405263259840204,1.0,0.0,0.9,0.13408608031529,0.5,0.5285401895275341,moderate_multilayer_evidence,32,33,0.0021501764855749,0.0028029833809482,0.9,0.00186987814748005,30,0.0062002185686043,0.0159778114775971,weak_cross_target_pattern,significant_correct_only,same_direction,exploratory,positive,very_small
remember,theta_abs,-0.1930376038406147,-0.0564929984650997,0.0564929984650997,0.0004393692914317,True,negligible,significant_but_weak,3.0,negative,0.0111490543470897,0.8,0.0074800511417824,4,0.1930376038406147,0.4228316544939132,target_dissociated,opposite_direction,significant_both_targets,0.2485367330648294,1.0,0.0,0.8,0.7993104713636985,0.25,0.5270652304025772,moderate_multilayer_evidence,7,6,0.0111490543470897,0.0183450160265364,0.8,0.0074800511417824,4,0.1930376038406147,0.4228316544939132,target_dissociated,significant_both_targets,opposite_direction,exploratory,negative,very_small
correct,theta_alpha_occipital_ratio,0.1631099213552205,0.056103224729366,0.056103224729366,0.0288426366003303,True,negligible,significant_but_weak,3.0,positive,0.0013420988694812,0.9,0.0011966507890161,35,0.0298974587509148,0.1631099213552205,target_preferential,same_direction,significant_correct_only,0.2467981705982575,1.0,0.0,0.9,0.0743505279099526,0.75,0.5241345954405597,moderate_multilayer_evidence,33,34,0.00134209886948125,0.0014544808046511,0.9,0.00119665078901615,35,0.0298974587509148,0.1631099213552205,target_preferential,significant_correct_only,same_direction,exploratory,positive,very_small
remember,theta_beta_ratio,-0.3424385498736004,-0.0461622866138733,0.0461622866138733,0.0053448649841291,True,negligible,significant_but_weak,3.0,negative,0.0093654184539337,0.9,0.0086930736881399,7,0.3424385498736004,0.7977931256118733,target_dissociated,opposite_direction,significant_both_targets,0.2024572099186551,1.0,0.0,0.9,0.6674586872705811,0.25,0.522360171206722,moderate_multilayer_evidence,8,8,0.0093654184539337,0.0120073892499295,0.9,0.0086930736881399,7,0.3424385498736004,0.7977931256118733,target_dissociated,significant_both_targets,opposite_direction,exploratory,negative,very_small
correct,beta_frontoparietal_ratio,-0.178807458673208,-0.0878939764907035,0.0878939764907035,0.0085918631731332,True,negligible,significant_but_weak,3.0,negative,0.0044128902309478,0.6,0.0026477341385687,26,0.0463761073516613,0.178807458673208,target_preferential,same_direction,significant_correct_only,0.3885989199287044,1.0,0.0,0.6,0.3013527547325388,0.75,0.52228500545543,moderate_multilayer_evidence,34,35,0.00441289023094785,0.0056429818899272,0.6,0.0026477341385687,26,0.0463761073516613,0.178807458673208,target_preferential,significant_correct_only,same_direction,exploratory,negative,very_small
remember,theta_parietal,-0.3370532596592301,-0.064341317636975,0.064341317636975,6.358390947165893e-05,True,negligible,significant_but_weak,3.0,negative,0.0104165949155947,0.7,0.0092124345005316,4,0.3370532596592301,0.6252947524007433,target_dissociated,opposite_direction,significant_both_targets,0.2835436919411491,1.0,0.0,0.7,0.7451648448997892,0.25,0.5104024074752662,moderate_multilayer_evidence,9,9,0.0104165949155947,0.0168193217809792,0.7,0.00921243450053165,4,0.3370532596592301,0.6252947524007433,target_dissociated,significant_both_targets,opposite_direction,exploratory,negative,very_small
correct,theta_temporal,0.3108521749391855,0.113538613324556,0.113538613324556,5.245038754930327e-06,True,negligible,significant_but_weak,4.0,positive,0.0027532878753972,0.7,0.0020426273101846,33,0.1777613758745846,0.3108521749391855,target_dissociated,opposite_direction,significant_both_targets,0.5029852907401656,1.0,0.0,0.7,0.1786699065659773,0.25,0.5086133133416392,moderate_multilayer_evidence,35,17,0.00275328787539725,0.0039065458494627,0.7,0.00204262731018465,33,0.1777613758745846,0.3108521749391855,target_dissociated,significant_both_targets,opposite_direction,exploratory,positive,small
remember,alpha_beta_central_ratio,-0.2817822470669995,-0.0421266841185034,0.0421266841185034,0.0114251934499194,True,negligible,significant_but_weak,3.0,negative,0.012021455063968,0.7,0.0077659147943213,3,0.2817822470669995,1.0588167279465992,target_dissociated,opposite_direction,significant_both_targets,0.1844566460395958,1.0,0.0,0.7,0.8638009827992957,0.25,0.4974942597898286,moderate_multilayer_evidence,10,7,0.012021455063968,0.0185124925685302,0.7,0.0077659147943213505,3,0.2817822470669995,1.0588167279465992,target_dissociated,significant_both_targets,opposite_direction,exploratory,negative,very_small
correct,delta_frontoparietal_ratio,-0.069527851805583,-0.0574309172897982,0.0574309172897982,0.0459357547964619,True,negligible,significant_but_weak,3.0,negative,0.0030330416944707,0.8,0.0019319946150372,32,0.0091484223653113,0.069527851805583,weak_cross_target_pattern,opposite_direction,significant_correct_only,0.2527202639593434,1.0,0.0,0.8,0.199350158793034,0.5,0.4931150818691392,moderate_multilayer_evidence,36,38,0.0030330416944707,0.0055052353971673,0.8,0.00193199461503725,32,0.0091484223653113,0.069527851805583,weak_cross_target_pattern,significant_correct_only,opposite_direction,exploratory,negative,very_small
remember,theta_frontoparietal_diff,0.1770006101954757,0.0577387196849785,0.0577387196849785,0.000384690812106,True,negligible,significant_but_weak,3.0,positive,0.0024888726169346,0.9,0.0023229997505376,31,0.1770006101954757,0.3007786594133896,target_dissociated,opposite_direction,significant_both_targets,0.2540931981576266,1.0,0.0,0.9,0.1591235273394143,0.25,0.4844356522733481,moderate_multilayer_evidence,11,13,0.00248887261693465,0.0033190165699001,0.9,0.0023229997505376998,31,0.1770006101954757,0.3007786594133896,target_dissociated,significant_both_targets,opposite_direction,exploratory,positive,very_small
